IP Address,Hostname,Status,MAC Address,OS Details,Port,Protocol,Service,Version
10.20.167.70,10.20.167.70,up,60:E9:AA:F0:A2:C1,Microsoft Windows 11 24H2 (91% accuracy),6881,tcp,bittorrent-tracker,Unknown Version
10.20.167.107,10.20.167.107,up,DE:0F:57:5C:35:12,Android 10 (Linux 4.14) (97% accuracy),53,tcp,domain,Unknown Version
10.20.167.147,10.20.167.147,up,DE:46:FE:8B:90:56,OS detection not available / restricted,None,None,None,None
10.20.167.186,10.20.167.186,up,F4:28:9D:BB:63:E3,Microsoft Windows 11 24H2 (92% accuracy),3306,tcp,mysql,Unknown Version
10.20.167.186,10.20.167.186,up,F4:28:9D:BB:63:E3,Microsoft Windows 11 24H2 (92% accuracy),6881,tcp,bittorrent-tracker,Unknown Version
10.20.167.60,10.20.167.60,up,N/A,Microsoft Windows 11 24H2 - 25H2 (100% accuracy),21,tcp,ftp,Unknown Version
10.20.167.60,10.20.167.60,up,N/A,Microsoft Windows 11 24H2 - 25H2 (100% accuracy),135,tcp,msrpc,Unknown Version
10.20.167.60,10.20.167.60,up,N/A,Microsoft Windows 11 24H2 - 25H2 (100% accuracy),139,tcp,netbios-ssn,Unknown Version
10.20.167.60,10.20.167.60,up,N/A,Microsoft Windows 11 24H2 - 25H2 (100% accuracy),445,tcp,microsoft-ds,Unknown Version
10.20.167.60,10.20.167.60,up,N/A,Microsoft Windows 11 24H2 - 25H2 (100% accuracy),3306,tcp,mysql,Unknown Version
10.20.167.60,10.20.167.60,up,N/A,Microsoft Windows 11 24H2 - 25H2 (100% accuracy),4343,tcp,unicall,Unknown Version
10.20.167.60,10.20.167.60,up,N/A,Microsoft Windows 11 24H2 - 25H2 (100% accuracy),4449,tcp,privatewire,Unknown Version
10.20.167.60,10.20.167.60,up,N/A,Microsoft Windows 11 24H2 - 25H2 (100% accuracy),5432,tcp,postgresql,Unknown Version
10.20.167.60,10.20.167.60,up,N/A,Microsoft Windows 11 24H2 - 25H2 (100% accuracy),7070,tcp,realserver,Unknown Version
